"","V1","V2","V3","V4","V5","V6","V7","V8"
"177",433.383193,206.2179746,1.81,85.33,1166.36,10850.66,0.693217788,6109.889084
"178",338.7849018,152.5247627,0.97,90.14,968.75,9325.01,0.686215364,5716.203919
"179",329.1365274,115.2156892,0.39,91.08,896.24,8829.04,0.673072353,4911.669346
"180",318.8142288,84.93181266,0.16,89.55,903.25,8776.39,0.66611112,4680.65472
"181",364.7179662,91.26297662,0.15,90.47,825.88,8000.86,0.669010314,4182.12727
"182",341.2716178,89.50095332,0.22,92.92,735.09,7062.93,0.672337257,4132.788006
"183",333.6578485,100.5938881,0.18,93.46,797.87,7608.92,0.673972212,4384.061519
"184",374.4664198,107.1474207,0.15,91.27,872.81,8168.12,0.675654695,4260.502418
"185",422.3550526,122.6677912,0.18,88.7,919.14,8500.33,0.677606502,4327.1932
"186",445.1081713,142.9311285,0.21,88.35,919.32,8447,0.683427069,4642.302556
"187",398.0887616,134.405465,0.16,87.97,987.48,9171.61,0.682343436,4823.530639
"188",408.957381,147.9181725,0.16,86.75,1020.62,9496.28,0.68387383,4513.665881
"189",349.0520273,138.8525262,0.15,85.98,1057.08,9712.28,0.68430158,5065.142757
"190",354.864809,149.666486,0.12,84.75,1036.19,9712.73,0.684960631,5249.140331
"191",370.7071893,155.3978535,0.12,84.17,1095.63,10344.84,0.685445414,5223.900339
"192",379.2993695,151.7014451,0.12,84.11,1115.1,10428.05,0.684238209,5178.882255
"193",358.9666102,158.3556353,0.11,84.38,1073.87,10067.33,0.686576575,4949.715071
"194",344.6607407,156.0026963,0.13,85.16,1104.49,10325.26,0.686747675,5016.603326
"195",348.9493275,167.5648583,0.16,84.68,1169.43,10856.63,0.689567656,5514.047915
"196",357.63868,178.5874931,0.2,84.22,1186.69,11008.61,0.690765355,5301.154894
"197",349.0513711,163.7299937,0.2,86.74,1089.41,10136.63,0.691300835,5180.761379
"198",348.5139945,164.0514927,0.18,87.36,1030.71,9774.02,0.690625941,5364.051363
"199",370.9757683,159.8432428,0.18,85.85,1101.6,10465.94,0.690771692,5474.665945
"200",379.4622109,160.928533,0.19,84.96,1049.33,10014.72,0.691725416,5267.548211
"201",390.2312168,160.6556149,0.19,83.95,1141.2,10788.05,0.692127818,5665.7603
"202",427.1761323,167.6045154,0.19,81.26,1183.26,11118.49,0.692989655,6009.575406
"203",459.961136,173.7859578,0.19,81.21,1180.55,11006.02,0.693281158,5996.078017
"204",483.755863,188.714144,0.18,81.7,1257.64,11577.51,0.694472521,5876.762747
"205",511.104867,193.3070873,0.17,80.91,1286.12,11891.93,0.697780453,5853.30716
"206",512.0524677,200.974708,0.16,80.24,1327.22,12226.34,0.701221464,5988.780191
"207",498.7398132,220.807182,0.14,79.88,1325.83,12319.73,0.708059125,6657.791279
"208",501.4688317,233.93434,0.1,78.83,1363.61,12810.54,0.712618621,6451.081941
"209",498.7651078,217.4428595,0.09,78.99,1345.2,12569.79,0.715970913,6577.300233
"210",499.7727759,212.9653405,0.09,78.96,1320.64,12414.34,0.715204132,6563.818268
"211",501.8270828,218.5548767,0.07,78.43,1292.28,12143.24,0.715837835,6552.478596
"212",501.4237008,201.0947575,0.1,78.86,1218.89,11613.53,0.717811822,6496.895116
"213",490.9089548,205.5164963,0.08,80.98,1131.42,10913.38,0.718901792,6583.942794
"214",446.016027,204.4863329,0.07,81.47,1253.3,11955.01,0.717418926,6450.933631
"215",428.8252245,215.4017119,0.08,81.79,1246.96,12045.68,0.716813739,6495.68591
"216",420.0461048,215.6478914,0.07,82.1,1257.6,12217.56,0.715045706,6250.28139
"217",441.7327614,223.2483857,0.08,81.82,1312.41,12632.91,0.718192044,6021.464483
"218",461.5559876,233.8120361,0.1,80.5,1365.68,12952.07,0.721354224,6334.990209
"219",496.2904752,245.7912876,0.13,81.22,1408.47,13212.04,0.726832591,6675.556932
"220",529.4216015,236.9286207,0.14,81.56,1397.91,13213.63,0.729028374,6300.353922
"221",520.9254559,218.9970475,0.16,83.02,1310.33,12393.45,0.728172874,6424.97877
"222",522.3291925,192.8054479,0.16,84.19,1362.16,12880.09,0.727105084,6299.822415
"223",609.4467555,206.8423247,0.16,83.64,1379.32,13008.68,0.725920058,6162.507436
"224",622.9135498,224.3022044,0.13,83.06,1406.58,13090.84,0.729959918,6105.48893
"225",615.1813973,222.3005134,0.14,81.8,1440.67,13437.13,0.733217154,6332.552332
"226",565.5254818,215.4269705,0.16,81.32,1412.16,13096.46,0.732931988,6537.205574
"227",533.028608,212.7103628,0.16,81.48,1416.18,13025.58,0.729459292,6372.665312
"228",534.7907746,211.7843022,0.16,80.5,1426.19,13104.14,0.727494812,6201.119289
"229",526.047305,220.0256438,0.14,80.7,1498.11,13860.58,0.729646235,6318.28299
"230",536.3758301,226.4456024,0.15,81.38,1514.68,14054.49,0.735622059,6270.615599
"231",536.0813971,219.796472,0.14,82.27,1569.19,14578.54,0.737545349,6490.035375
"232",517.7897151,211.1856726,0.15,81.79,1597.57,14839.8,0.736778568,6414.433612
"233",542.1992231,213.0795144,0.11,82.38,1630.74,15115.57,0.738090334,6358.986201
"234",560.1577065,211.8936102,0.09,83.06,1606.28,14909.6,0.739861536,6405.515485
"235",548.3496175,225.0325328,0.09,83.52,1685.73,15499.54,0.740153039,6418.226674
"236",498.0483272,228.906543,0.08,83.26,1632.97,14810.31,0.741043393,6261.832524
"237",503.2371222,229.5492472,0.08,82.86,1681.55,15129.67,0.74190523,6486.949722
"238",472.8275169,220.6170151,0.09,81.7,1756.54,15545.75,0.739994614,6826.016593
"239",476.6622412,215.6757889,0.08,82.11,1805.81,16086.41,0.738483231,6632.449626
"240",488.6693388,220.645323,0.09,82.06,1848.36,16576.66,0.73841986,6480.47196
"241",476.1021185,213.8825155,0.07,82.96,1782.59,15698.85,0.741166965,6487.458179
"242",496.7989975,218.9714484,0.07,83.04,1859.45,16321.71,0.743907733,6412.001963
"243",522.0011238,216.4772406,0.08,83.33,1872.34,16457.66,0.748698531,6774.076273
"244",547.1880553,217.9291091,0.09,83.17,1883.95,16580.84,0.751166807,6707.573974
"245",546.0332533,219.6634649,0.09,83.1,1923.57,16717.17,0.753790339,6706.939186
"246",528.0025948,226.2986416,0.1,83.38,1960.23,16826.6,0.755193992,6661.226903
"247",463.2336715,219.9033902,0.09,83.14,1930.67,16563.3,0.75489932,6828.738775
"248",432.9851363,210.8324646,0.09,83.61,2003.37,17098.45,0.75363825,6296.038207
"249",368.8498828,205.4575449,0.09,84.63,1972.29,17042.9,0.754205415,6650.809651
"250",354.4409131,186.2306681,0.09,85.4,2018.05,17390.52,0.752310641,6708.698962
